#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
30,"Royalty","Egzod,Maestro Chives",80,9A,86,2024-11-25,03:43,43,"","Royalty",2021-04-22,39,2,0,32,0,10,-4,E Minor,4,7kUljt0NM5sISL3OGNVxYd,GB2LD2110089
31,"Husn","Anuv Jain",152,7B,38,2024-11-25,03:37,78,"indian indie, hindi indie, hindi pop","Husn",2023-12-01,53,68,0,24,0,10,-10,F Major,4,0TL0LFcwIBF5eX7arDIKxY,INUM72303081
32,"Yeh Raaten Yeh Mausam","Sanam,Simran Sehgal",151,4A,32,2024-11-29,03:28,67,"hindi pop, desi pop, ","Yeh Raaten Yeh Mausam - Sanam And Simran Shgal",2014-11-30,69,90,0,66,0,10,-8,F Minor,3,1ApfHqjOoBmJZ0SjdjzVyA,INH101402125
33,"Taarif Karoon","Mohammed Rafi,Sanam",112,7B,68,2024-12-06,02:37,52,"ghazal, hindi pop, desi pop","Sanam - Taarif Karoon",2019-05-16,80,35,0,80,0,10,-6,F Major,4,7Hkbm2DgepcriVxDrwbCcc,INH101902290
34,"Lag Ja Gale","Sanam",135,4B,32,2024-12-06,04:00,61,"hindi pop, desi pop","Lag Ja Gale - Sanam",2014-07-15,39,86,0,46,0,0,-9,G#/A♭ Major,3,733B0eINqwUqzV49kNRPPA,INH101401213
35,"O Mere Dil Ke Chain","Sanam,R. D. Burman",122,10A,64,2024-12-08,03:22,63,"hindi pop, desi pop, ghazal","O Mere Dil Ke Chain - Sanam",2015-06-30,78,22,0,71,0,0,-7,B Minor,4,3WVtOC0yQGiifTSeESXIrw,INH101500926
36,"Mere Samnewali Khidki Mein - Jhankar Beats","DJ Harshit Shah,DJ MHD IND,Sanam",140,9B,70,2024-12-14,03:01,32,"hindi pop, desi pop","Mere Samnewali Khidki Mein - Jhankar Beats",2023-06-30,82,36,0,88,0,10,-7,G Major,4,4uXDFZF5TGM9HPNLE4NNjG,INH102309500
37,"Ilahi","Pritam,Arijit Singh,Amitabh Bhattacharya",132,11B,97,2024-12-17,03:48,75,"bollywood, hindi pop, desi, bangla pop","Yeh Jawaani Hai Deewani",2013-03-30,59,17,0,45,0,10,-6,A Major,4,5cgKosPPj5Cs9a2JQufUc1,INS181303779
38,"Alag Aasmaan","Anuv Jain",119,2B,30,2024-12-18,03:32,72,"indian indie, hindi indie, hindi pop","Alag Aasmaan",2020-07-31,70,87,0,46,0,0,-13,F#/G♭ Major,4,3bQsp4Vr9Rg4fNCx6HPOgX,TCAEZ2083117
39,"Dil Kya Kare","Sanam",101,3A,53,2024-12-21,03:29,52,"hindi pop, desi pop","Universally SANAM",2019-08-09,76,16,0,84,0,10,-6,A#/B♭ Minor,4,6S6igJi5j9FP1JVzl9EVqu,INUM71900033
40,"Thodi Jagah (From  Marjaavaan )","Arijit Singh,Tanishk Bagchi,Rashmi Virag",107,5A,47,2024-12-27,03:38,69,"hindi pop, bollywood, desi, bangla pop, desi pop, gujarati garba","Thodi Jagah (From  Marjaavaan )",2019-10-18,62,63,0,23,0,0,-5,C Minor,4,3f0wz6zcA7XkQiGm0qNF5r,INS181905108
41,"Tera Hone Laga Hoon","Pritam,Atif Aslam,Alisha Chinai",120,4B,77,2025-01-23,04:59,76,"bollywood, hindi pop, desi, sufi, qawwali, desi pop","Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack)",2009-11-06,69,55,0,55,0,10,-5,G#/A♭ Major,4,0dLbrlAVPPjpPqnYfmJsWk,INT100900021
42,"Pal Pal Dil Ke Paas - From  Blackmail ","Kishore Kumar",121,3B,40,2025-01-24,05:29,64,"ghazal, bangla pop, hindi pop","Blackmail (Original Motion Picture Soundtrack)",1973-01-01,51,63,0,51,0,10,-10,C♯/D♭ Major,4,0HI3O9uCBWtu7B3boRpCaL,INP100300046
43,"Kya Hua Tera Vada","Sushma Shrestha,Mohammed Rafi,R. D. Burman",99,7B,58,2025-01-24,04:17,70,"ghazal, hindi pop","Hum Kisise Kum Naheen",1977-08-25,51,21,0,78,0,10,-6,F Major,4,5XTdgOtJYAOXiw2gHW2KmQ,INH109534740
44,"O Mere Dil Ke Chain","Kishore Kumar,R. D. Burman",109,8A,38,2025-01-24,04:36,70,"ghazal, bangla pop, hindi pop","Mere Jeevan Saathi",1972-01-01,46,87,0,54,0,0,-13,A Minor,4,6Frhkb7giXWjeJAX2dJT88,INH109990260
45,"Saagar Jaisi Aankhonwali - From  Saagar ","Kishore Kumar,R. D. Burman",112,8A,40,2025-01-24,05:03,61,"ghazal, bangla pop, hindi pop","Saagar (Original Motion Picture Soundtrack)",1985-01-01,55,65,0,40,0,10,-11,A Minor,4,0x6uQ4XMGrPDcYiWRZlBSq,INUM70500039
46,"Mere Mehboob Qayamat Hogi","Kishore Kumar,Laxmikant–Pyarelal",97,4B,36,2025-01-24,03:48,68,"ghazal, bangla pop, hindi pop, bhajan","Mr. X In Bombay",1964-01-01,40,77,0,58,0,20,-9,G#/A♭ Major,4,3MRREVp7Vwiivsny9bGd9O,INH109631830
47,"Dil Kya Kare","Kishore Kumar",87,2A,39,2025-01-24,06:44,59,"ghazal, bangla pop, hindi pop","Julie (Original Motion Picture Soundtrack)",1975-04-18,42,67,0,48,0,10,-13,D#/E♭ Minor,4,5t0qa7vBhsi9kUsncxTXoz,INP100300043
48,"Khwab Ho Tum Ya Koi Haqeeqat","Kishore Kumar,S. D. Burman",124,9B,55,2025-01-24,05:33,55,"ghazal, bangla pop, hindi pop","Teen Devian",1965-01-01,45,95,0,54,0,20,-6,G Major,4,6BirLItaTffBCKTAeWi3gT,INH109237610
49,"Pyar Diwana Hota Hai","Kishore Kumar,R. D. Burman",124,7B,66,2025-01-24,04:44,61,"ghazal, bangla pop, hindi pop","Kati Patang",1970-01-01,55,66,0,83,0,30,-8,F Major,4,0Yu6DMaU2w0777Ek5XQNyI,INH109544100
