#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
94,"Aankhein Khuli","Jatin-Lalit,Lata Mangeshkar,Udit Narayan,Udbhav,Manohar Shetty,Ishaan,Shweta Pandit,Sonali Bhatawdekar,Pritha Mazumdar,Anand Bakshi",122,6A,64,2025-03-08,07:02,70,"bollywood, hindi pop, desi, ghazal, bhajan, marathi pop","Mohabbatein",2000-08-27,79,35,0,65,0,30,-14,G Minor,4,16XEVyPh5NT31CAAqPbxQF,INY090000004
95,"Pyar Hua Iqrar Hua","Manna Dey,Lata Mangeshkar",127,11A,47,2025-03-08,04:20,56,"bangla pop, ghazal, qawwali, bhajan, bollywood, hindi pop, marathi pop","Shree 420",1955-06-09,44,75,0,86,0,20,-10,F#/G♭ Minor,4,3B3MQlP4NPAxE2HEE2sEsS,INH109239630
96,"Jo Tum Mere Ho","Anuv Jain",124,12A,30,2025-03-11,04:11,82,"indian indie, hindi indie, hindi pop","Jo Tum Mere Ho",2024-08-02,46,66,0,18,0,20,-13,C♯/D♭ Minor,5,0eCajpR75pDW0r64U6hP2x,INUM72400721
97,"Raanjhanaa (From  Raanjhanaa )","A.R. Rahman,Jaswinder Singh,Shiraz Uppal",113,11B,71,2025-03-11,04:14,78,"tamil pop, kollywood, bollywood, sufi, hindi pop, qawwali","Raanjhanaa (Original Motion Picture Soundtrack)",2013-05-31,67,11,0,78,0,0,-8,A Major,4,5OMUXgfXsSukZ0zxelpC3b,INS171300392
98,"Tum Se (From  Teri Baaton Mein Aisa Uljha Jiya )","Sachin-Jigar,Raghav Chaitanya,Varun Jain,Indraneel",100,6B,60,2025-03-12,04:24,76,"gujarati pop, bollywood, hindi pop, desi, gujarati garba, hindi indie, indian indie, desi pop, ","Tum Se (From  Teri Baaton Mein Aisa Uljha Jiya )",2024-02-02,61,68,0,44,0,10,-6,A#/B♭ Major,4,2ceeTJAzKy295Fm0VsaXtE,INS182400341
99,"Ishq","Faheem Abdullah,Rauhan Malik,Amir Ameer",95,9A,56,2025-03-16,03:44,82,"hindi pop, indian indie","Lost;Found",2024-05-25,39,50,3,29,0,10,-9,E Minor,4,1hlbywc8Jhl1FFqJxAMabE,FR96X2451081
100,"Blinding Lights","The Weeknd",171,3B,73,2025-03-24,03:20,91,"","After Hours",2020-03-20,51,0,0,33,0,0,-6,C♯/D♭ Major,4,0VjIjW4GlUZAMYd2vXMi3b,USUG11904206
101,"Shape of You","Ed Sheeran",96,12A,65,2025-03-24,03:53,91,"soft pop","÷ (Deluxe)",2017-03-03,83,58,0,93,0,0,-3,C♯/D♭ Minor,4,7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463
102,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone,Swae Lee",90,10B,48,2025-03-24,02:38,85,"","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)",2018-12-14,76,55,0,91,0,0,-6,D Major,4,3KkXRkHbMCARz0aVfEt68P,USUM71814888
103,"Heat Waves","Glass Animals",81,1B,53,2025-03-27,03:58,9,"","Heat Waves",2020-06-29,76,44,0,53,0,0,-7,B Major,4,6CDzDgIUqeDY5g8ujExx2f,GBUM72000433
104,"Don't Start Now","Dua Lipa",124,10A,79,2025-03-27,03:03,84,"pop","Future Nostalgia",2020-03-27,79,1,0,68,0,10,-5,B Minor,4,3PfIrDoz19wz7qK7tYeu62,GBAHT1901121
105,"Thunder","Imagine Dragons",168,8B,81,2025-03-27,03:07,8,"","Evolve",2017-06-23,60,1,21,30,0,10,-5,C Major,4,0tKcYR2II1VCQWT79i5NrW,USUM71704167
106,"Mortals","Warriyo",90,10B,66,2025-03-28,03:48,32,"","Mortals",2016-12-15,32,2,8,8,0,10,-6,D Major,4,11uvudmvZBzG2ztQsOB5sF,GB2LD0902603
107,"Zaroorat","Mustafa Zahid,Mithoon",93,2A,71,2025-03-28,06:08,70,"bollywood, hindi pop","Ek Villain",2014-05-28,35,36,0,24,0,20,-6,D#/E♭ Minor,4,32U1XMh3DKlm45uvpofhvY,INS181401037
108,"Co2","Prateek Kuhad",81,3B,68,2025-04-01,02:43,72,"indian indie, hindi indie","The Way That Lovers Do",2022-05-20,53,66,0,68,0,10,-5,C♯/D♭ Major,4,3hB9lDLyAClYVZivMMl20N,USAT22201719
109,"Sau Tarah Ke","Pritam,Jonita Gandhi,Amit Mishra,Kumaar,Ashish Pandit",134,1B,77,2025-04-01,03:58,68,"bollywood, hindi pop, desi, tamil pop, kollywood","Dishoom",2016-07-15,70,5,0,72,0,10,-5,B Major,4,54SQet8YMttOgTqDNGcGpe,INS181600966
110,"Yeh Vaada Raha - Tu Tu Hai Wahi / From “Yeh Vaada Raha”","Kishore Kumar,Asha Bhosle,R. D. Burman",73,8B,68,2025-04-07,06:47,40,"ghazal, bangla pop, hindi pop, marathi pop, bollywood","Kishore Kumar's Golden Voice",2023-06-20,54,63,0,60,0,10,-5,C Major,4,6KHyq9vmS622R9iwpEAdvm,INUM70500760
111,"Sanson Ki Mala Pe","Xariya",155,5A,69,2025-04-08,04:42,0,"desi hip hop, hindi hip hop, punjabi hip hop","Sanson Ki Mala Pe",2025-02-15,26,0,0,52,0,10,-8,C Minor,3,10DNPOKT0QF0uw5GTCULrD,QZES92560065
112,"Sanson Ki Mala Pe - Cover","André Antunes,Shan Padman",156,5A,77,2025-04-09,04:45,0,"neoclassical, ","Sanson Ki Mala Pe (Cover)",2023-05-11,27,0,0,59,0,10,-5,C Minor,3,25Yg2ntPhCsLpx0x3wp9nX,QZK6M2336502
113,"Wellerman - Sea Shanty","Nathan Evans",192,5B,36,2025-04-09,02:35,73,"sea shanties","Wellerman (Sea Shanty)",2021-01-21,68,61,0,79,10,10,-5,D#/E♭ Major,4,54OBgO0Xwu20Jak9TMXbR7,GBUM72100297
114,"Samjhawan","Jawad Ahmad,Shaarib Toshi,Arijit Singh,Shreya Ghoshal",107,12B,48,2025-04-26,04:29,83,"bollywood, hindi pop, desi, bangla pop, kannada pop, marathi pop","Samjhawan",2014-06-19,65,29,0,52,0,0,-9,E Major,4,0rk2X5TAhraBC5aCIXK2Rq,INS171401263
115,"MATUSHKA ULTRAFUNK","satirin",110,8B,94,2025-04-27,02:24,69,"phonk, brazilian phonk","MATUSHKA ULTRAFUNK",2024-12-13,69,0,21,85,10,60,-3,C Major,4,12CXx3gXBn9QjGSNYzEh05,CA5KR2497631
116,"Матушка","Татьяна Куртукова",94,7A,83,2025-04-27,02:52,72,"","Матушка",2022-11-04,65,2,0,66,0,20,-5,D Minor,4,1K6axkQVqzv1votwRFy9FB,QZW9L2252176
117,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons,JID,Arcane,League of Legends",77,10A,78,2025-04-28,02:53,76,"score, ","Enemy (with JID) [from the series Arcane League of Legends]",2021-10-28,73,24,0,56,20,40,-4,B Minor,4,1r9xUipOqoNwggBpENDsvJ,USUM72119916
118,"Aaoge Tum Kabhi","The Local Train",98,8B,86,2025-05-09,05:13,69,"indian indie, hindi indie","Aalas Ka Pedh",2015-09-25,53,2,2,37,0,10,-5,C Major,4,5ivRSlOhVIXN2QMzqgsX0s,INO131301170
119,"Zaroorat (From  Ek Villain )","Mustafa Zahid",93,2A,71,2025-05-09,06:08,55,"bollywood, hindi pop","Best Of Shraddha Kapoor",2017-03-03,35,36,0,24,0,20,-6,D#/E♭ Minor,4,6jUqTvRGOOyJmhxDQaWpNb,INS181401037
120,"Kaise Hua (From  Kabir Singh )","Vishal Mishra,Manoj Muntashir",138,10B,46,2025-05-15,03:54,77,"bollywood, hindi pop, bhajan, devotional","Kaise Hua (From  Kabir Singh )",2019-06-13,39,45,0,15,0,10,-7,D Major,4,1y1rQTkWmrZdJmjwuK07GC,INS181903732
121,"Tera Ghata","Gajendra Verma",180,12A,57,2025-05-18,04:14,72,"hindi pop","Tera Ghata",2018-05-19,72,46,1,68,0,10,-7,C♯/D♭ Minor,4,7qchN9iUKSFijPsadG9m2w,INV421800029
122,"Bloodline","Alex Warren,Jelly Roll",128,9A,78,2025-05-25,03:02,76,"country hip hop, country","Bloodline",2025-05-22,62,26,0,51,0,0,-6,E Minor,4,0qmhTHMVxnXRmT5N92wTD9,USAT22503114
123,"Expiration Dating","Madelline",138,9B,69,2025-05-25,03:00,54,"","Expiration Dating",2025-05-20,64,8,0,22,0,10,-4,G Major,3,4RY8NabvRv6Y95x96asZbr,TCAJN2563871
124,"Ve Kamleya (From  Rocky Aur Rani Kii Prem Kahaani )","Pritam,Arijit Singh,Shreya Ghoshal,Shadab Faridi,Altamash Faridi,Amitabh Bhattacharya",88,10B,66,2025-05-27,04:06,68,"bollywood, hindi pop, desi, bangla pop, kannada pop, marathi pop, sufi","Rocky Aur Rani Kii Prem Kahaani",2024-05-15,47,81,3,53,0,10,-8,D Major,4,6y5SuF4NxGkvwpAdqcAkD3,INH102310310
125,"Teri Meri Kahaani","Palak Muchhal,Manoj Yadav,Arijit Singh",110,2A,80,2025-05-29,05:31,68,"bollywood, hindi pop, gujarati garba, desi, bangla pop","Best Of Palak Muchhal",2024-05-03,60,16,0,35,0,30,-7,D#/E♭ Minor,4,0zQfcBB4obvYUrUNITmyyf,INZ031400534
126,"Kabhi Kabhi Aditi","Rashid Ali",95,6A,56,2025-05-29,03:38,71,"bollywood, hindi pop","Jaane Tu... Ya Jaane Na",2008-05-21,79,28,0,87,0,0,-7,G Minor,4,3APdIdF8H0jsxSuGOqXedS,INS180804909
127,"Mann Mera - Original Version","Gajendra Verma",100,7A,59,2025-06-15,03:48,79,"hindi pop","Mann Mera (Original Version)",2025-05-09,71,17,0,63,0,20,-8,D Minor,4,1As2Jo89VTF9V3D6GuOPr9,INS172501376
128,"Ievan Polkka (Progressive Dance Remix)","JDneX",130,11A,68,2025-06-23,04:23,0,"vocaloid","Ievan Polkka (Progressive Dance Remix)",2016-12-01,76,19,0,70,0,0,-11,F#/G♭ Minor,4,1rRlOm9tzkmpol1Pza4cRv,RUA1H1642047
129,"GigaChad Theme - Phonk House Version","g3ox_em",128,11B,50,2025-06-23,02:26,69,"phonk, drift phonk","GigaChad Theme (Phonk House Version)",2022-08-22,59,0,94,58,0,10,-6,A Major,4,7mLWNwcvwRdEviz6SfYp8A,QZNWS2230712
130,"Rush E","Sheet Music Boss",80,8A,81,2025-06-23,02:24,59,"","Rush Collection",2020-12-23,38,68,93,95,0,0,-8,A Minor,4,7CBN7Kwx1g8SBJZyUbhHc6,QZPLR2056958
131,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes,Adam Levine",90,11B,80,2025-06-23,03:30,87,"","The Papercut Chronicles II",2011-11-11,65,3,0,80,10,20,-3,A Major,4,0qOnSQQF0yzuPWsXrQ9paz,USAT21101071
132,"Luminary","Joel Sunny",135,11A,59,2025-06-23,03:09,3,"","Luminary",2023-08-31,40,24,5,38,0,20,-9,F#/G♭ Minor,4,66pWxtaxTV8CxcGOvivZeT,AUGBT2300497
133,"Rasputin","Boney M.",126,11B,89,2025-06-23,05:51,69,"disco","Nightflight to Venus",1978-00-00,64,29,1,97,0,20,-7,A Major,4,5jkFvD4UJrmdoezzT1FRoP,DED167800008
134,"NEXT!","NCTS",130,12A,75,2025-06-23,01:39,75,"phonk, brazilian phonk","NEXT!",2024-06-07,63,9,8,33,0,10,-2,C♯/D♭ Minor,4,5hL2t5WyC9bibNDVkhVvDx,CA5KR2464638
135,"Cheri Cheri Lady","Modern Talking",114,6B,62,2025-06-23,03:46,82,"europop, italo disco, eurodance","Let's Talk About Love",1985-00-00,68,46,1,85,0,30,-14,A#/B♭ Major,4,2aEuA8PSqLa17Y4hKPj5rr,DEC738500001
136,"Fairytale","Alexander Rybak",108,7A,78,2025-07-08,03:02,75,"","Fairytale",2009-01-12,57,61,0,66,0,20,-5,D Minor,4,3MnAsEBBsEj86d03RgO4EM,NO23B0900001
137,"Sooraj Ki Baahon Mein","Dominique Cerejo,Clinton Cerejo,Loy Mendonsa",125,1B,55,2025-07-22,03:22,64,"bollywood, desi","Zindagi Na Milegi Dobara",2011-06-06,86,19,0,87,0,0,-7,B Major,4,723xQva0yBF7M6K3nDAG8R,INS181101720
138,"Love You Zindagi","Amit Trivedi,Jasleen Royal,Kausar Munir",110,5B,70,2025-07-22,03:52,64,"bollywood, hindi pop, gujarati garba, desi, gujarati pop, hindi indie, qawwali, sufi","Dear Zindagi (Original Motion Picture Soundtrack)",2016-11-15,69,6,3,39,0,20,-8,D#/E♭ Major,4,6k3XXCE1ZzwevQlxf8dNaw,INS171602536
139,"Buddhu Sa Mann","Amaal Mallik,Armaan Malik,Abhiruchi Chand",126,6B,87,2025-07-22,03:26,61,"bollywood, hindi pop, desi, kannada pop, tollywood","Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack)",2016-03-04,64,19,0,70,0,50,-5,A#/B♭ Major,4,1dxbiVeiV7nQ2V9qXnhJiB,INS171600299
140,"Mahiye Jinna Sohna","Darshan Raval",92,3B,54,2025-07-22,03:01,67,"gujarati garba, hindi pop, gujarati pop, bollywood, desi pop, desi","Dard",2023-08-09,57,74,0,33,0,10,-6,C♯/D♭ Major,4,0Jiaz0O4AqnJICa9PxHhaR,INW262317735
141,"PASSO BEM SOLTO - Slowed","ATLXS",116,12A,87,2025-07-23,01:56,82,"phonk, brazilian phonk","PASSO BEM SOLTO",2024-04-23,60,1,0,40,0,20,-6,C♯/D♭ Minor,4,4sTlQPMyoFMPdhAJvErBN3,AUMEV2448907
142,"Mitwa","Shankar-Ehsaan-Loy,Shankar Mahadevan,Caralisa Monteiro,Shafqat Amanat Ali",107,12B,63,2025-07-26,06:22,75,"bollywood, sufi, desi, hindi pop, marathi pop, devotional, bhajan, tamil dance","Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack)",2006-06-08,63,30,0,52,0,0,-8,E Major,4,4BTPzhEsyW3blWcxcuhLM0,INS170600224
143,"Happy Nation","Ace of Base",96,3B,86,2025-07-28,04:15,78,"eurodance, europop","Happy Nation",1992-11-16,67,0,0,67,0,0,-5,C♯/D♭ Major,4,7yCF65vpc7sUwPjftI0iFb,SEVJH0803407
144,"Dhadak - Title Track","Ajay Gogavale,Shreya Ghoshal",78,6A,31,2025-08-08,04:03,69,"marathi pop, devotional, bhajan, bollywood, hindi pop, desi, kannada pop","Dhadak (Original Motion Picture Soundtrack)",2018-07-11,35,85,1,22,0,10,-11,G Minor,4,4SrVkrpAyykhbVnATbfvPV,INZ031403644
145,"Jo Tere Sang","Jeet Gannguli,Mustafa Zahid,Sayeed Quadri",132,10A,91,2025-08-08,05:06,77,"bangla pop, hindi pop, bollywood","Blood Money (Original Motion Picture Soundtrack)",2012-02-14,68,7,0,40,0,10,-6,B Minor,4,0kYBzFJ5a2Jozi6cI4y9Bp,INS171200122
146,"Lite Flow","Subodh Su2",130,10A,78,2025-08-08,03:30,32,"","Lite Flow",2025-01-08,79,24,90,17,0,50,-6,B Minor,4,65n5sVVtEpBDmMWLlLW0Hr,GXF9Q2570060
147,"S'Hab Music - Remix","N'gaous,RANDALL",96,3A,83,2025-08-08,02:28,41,"","S'Hab N'gaous",2019-10-15,55,1,4,31,0,20,-6,A#/B♭ Minor,4,4xdxHhXHuv3fd9JqWD31kT,QMEZE1969024
148,"Maiyya Mainu","Sachet Tandon,Shellee",110,8B,74,2025-08-08,03:51,73,"bhajan, hindi pop, devotional, bollywood, desi pop","Jersey (Original Motion Picture Soundtrack)",2022-04-26,63,19,0,22,0,10,-4,C Major,4,3ygfdwvBJ2Y5XhJiiHFFZE,INZ031410016
149,"Tere Liye","Atif Aslam,Shreya Ghoshal,Sachin Gupta,Sameer Anjaan",130,10A,91,2025-08-12,04:39,75,"bollywood, hindi pop, desi, sufi, qawwali, kannada pop, marathi pop","Prince (Original Motion Picture Soundtrack)",2010-04-09,62,10,0,63,0,10,-4,B Minor,4,0fCQRUbk8LIQTdQYGNtGyv,INT101000002
150,"Die With A Smile","Lady Gaga,Bruno Mars",158,11A,59,2025-08-25,04:11,91,"art pop, pop, ","Die With A Smile",2024-08-16,52,31,0,54,0,10,-8,F#/G♭ Minor,3,2plbrEY59IikOBgBGLjaoe,USUM72409273
151,"Dernière danse","Indila",115,5A,45,2025-08-31,03:33,82,"french pop","Mini World",2014-01-01,67,18,0,33,0,0,-8,C Minor,4,65uoaqX5qcjXZRheAj1qQT,FRUM71301049
152,"Derniere Danse","Trippy Music",126,4B,66,2025-08-31,02:39,30,"","Derniere Danse",2021-07-20,71,3,26,43,0,0,-8,G#/A♭ Major,4,5VZZgWHZP7yHQIQvwSNJnV,QMFME2147255
153,"Dernière danse","Indila",115,5A,45,2025-08-31,03:33,52,"french pop","Mini World (Deluxe)",2014-11-17,67,18,0,33,0,0,-8,C Minor,4,4GCfdrH7k3AwbK9uREy3oX,FRUM71301049
154,"The Nights","Avicii",126,2B,84,2025-08-31,02:56,86,"edm","The Days / Nights",2014-01-01,53,2,0,65,0,20,-5,F#/G♭ Major,4,0ct6r3EGTcMLPtrXHDvVjc,CH3131340464
155,"Alone","Alan Walker",97,6B,91,2025-08-31,02:40,77,"","Different World",2018-12-14,67,23,0,18,0,10,-4,A#/B♭ Major,4,3LlmKSHR3Rs0Y3KHQLAYDk,NOG841617010
156,"STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",170,3B,76,2025-08-31,02:21,85,"","STAY (with Justin Bieber)",2021-07-09,59,4,0,48,0,10,-5,C♯/D♭ Major,4,5HCyWlXZPP0y6Gqq8TgA20,USSM12103949
157,"Until I Found You","Stephen Sanchez",101,6B,51,2025-09-06,02:57,80,"","Until I Found You",2021-09-01,54,73,0,23,0,10,-6,A#/B♭ Major,3,0T5iIrXA4p5GsubkhuBIKV,USUG12103651
158,"SNAP","Rosa Linn",170,8B,64,2025-09-06,02:59,10,"","SNAP",2022-03-19,56,11,0,53,0,40,-8,C Major,4,76OGwb5RA9h4FxQPT33ekc,USSM12207342
159,"Rasputin","Majestic,Boney M.",128,11A,91,2025-09-06,03:06,82,"disco","Rasputin",2021-02-26,76,0,0,66,10,10,-3,F#/G♭ Minor,4,0b18g3G5spr4ZCkz7Y6Q0Q,DEE862100256
160,"Arcade","Duncan Laurence",72,8A,33,2025-09-06,03:03,77,"","Arcade",2019-03-07,46,82,0,27,0,10,-13,A Minor,3,1Xi84slp6FryDSCbzq4UCD,NL1TK1900001
161,"Let Me Down Slowly","Alec Benjamin",150,12A,56,2025-09-06,02:49,84,"","Narrated For You",2018-11-16,65,74,0,48,0,10,-6,C♯/D♭ Minor,4,2qxmye6gAegTMjLKEBoR3d,USAT21802284
162,"Beggin'","Måneskin",134,10A,80,2025-09-06,03:31,88,"","Chosen",2017-12-08,71,13,0,59,0,30,-5,B Minor,4,3Wrjm47oTz2sjIgck11l5e,ITB001700846
163,"Infinity","Jaymes Young",122,10A,67,2025-09-06,03:57,81,"","Feel Something",2017-06-23,67,15,0,49,0,30,-7,B Minor,4,1SOClUWhOi8vHZYMz3GluK,USAT21700859
164,"Roll with the Wind","Alexander Rybak",96,12A,68,2025-09-06,03:34,45,"","Fairytales",2009-05-29,66,4,0,65,0,10,-6,C♯/D♭ Minor,4,01DMYNJJh0sVdTHdAegMDv,NO23B0900002
165,"Dil Mere","The Local Train",93,4B,47,2025-09-06,03:31,61,"indian indie, hindi indie","Aalas Ka Pedh",2015-09-25,66,84,3,57,0,10,-10,G#/A♭ Major,4,0XF0D8HL9gk2sr9tlFOee3,INO131301175
166,"Wrap Me In Plastic - Marcus Layton Radio Edit","CHROMANCE,Marcus Layton",90,4A,61,2025-09-06,03:12,62,"","Wrap Me In Plastic (Marcus Layton Radio Edit)",2019-11-15,92,24,0,68,0,0,-2,F Minor,4,3n2P3ipLt5mPFVaM0fJHNR,DEE861904185
167,"Ievan Polkka - Remastered 2024","Hatsune Miku,Otomania",119,11A,58,2025-09-06,02:32,61,"vocaloid","Ievan Polkka (Remastered 2024)",2007-05-04,97,16,2,97,0,10,-6,F#/G♭ Minor,4,1ny0kgUklOy5FUigvWWK0q,QZTRX2409094
168,"Mere Mehboob Qayamat Hogi","Kishore Kumar,Laxmikant–Pyarelal",99,5B,46,2025-09-15,04:03,61,"ghazal, bangla pop, hindi pop, bhajan","Classic Revival Ni Sultana Re",2000-02-10,32,66,0,35,0,10,-11,D#/E♭ Major,4,6a9JaoHp5F9lVA7dCjfIHk,INH100264810
169,"Badan Pe Sitare","Sanam",112,8B,68,2025-09-17,02:48,48,"hindi pop, desi pop","Badan Pe Sitare",2025-09-02,72,13,0,76,0,0,-4,C Major,4,4KrCHZiwOdVfRFCvEAiZVX,INH102505182
170,"Neele Neele Ambar Par - Male Version","Kalyanji-Anandji,Kishore Kumar",94,8B,70,2025-09-18,05:22,73,"ghazal, bangla pop, hindi pop","Kalaakaar (Original Motion Picture Soundtrack)",1983-06-10,56,63,0,72,0,10,-8,C Major,4,02zPo0Dt0R4TTFY5zLJZnK,INS171600310
171,"New Americana","Eibell",105,5A,65,2025-09-18,02:47,50,"","New Americana",2024-02-07,70,3,0,16,0,50,-8,C Minor,4,28J2ZaL4mEWrtBWlEzUorz,QZES52395347
172,"Ainsi bas la vida","Indila",128,4B,64,2025-10-07,03:34,72,"french pop","Mini World (Deluxe)",2014-11-17,78,5,0,44,10,10,-7,G#/A♭ Major,4,4lsOsGMzO1yCjGVucoWOZ1,FRUM71402811
173,"Baarishein","Anuv Jain",94,10B,12,2025-11-18,03:27,76,"indian indie, hindi indie, hindi pop","Baarishein",2018-01-12,48,93,0,19,0,10,-9,D Major,4,3WLJ7D5kh44K5eJ1NqZQ6W,TCADK1712757
174,"Señorita","Shawn Mendes,Camila Cabello",117,8A,54,2025-11-18,03:10,80,"","Señorita",2019-06-21,76,4,0,75,0,0,-6,A Minor,4,0TK2YIli7K1leLovkQiNik,USUM71911283
175,"Ishq Jalakar - Karvaan (From  Dhurandhar )","Shashwat Sachdev,Shahzad Ali,Subhadeep Das Chowdhury,Armaan Khan,Roshan,Irshad Kamil,Sahir Ludhianvi",117,10A,70,2025-12-15,04:10,74,"bollywood, desi pop, hindi pop, desi, ghazal, qawwali","Ishq Jalakar - Karvaan (From  Dhurandhar )",2025-11-25,81,5,0,93,10,0,-6,B Minor,4,7d5TUdbJumBuBoaH33jyfo,INH102506912
176,"Kings & Queens","Ava Max",130,12A,69,2026-01-13,02:42,83,"","Heaven & Hell",2020-09-18,64,1,0,46,0,10,-4,C♯/D♭ Minor,4,7a53HqqArd4b9NF4XAmlbI,USAT21906943
177,"Dhurandhar - Title Track (From  Dhurandhar )","Shashwat Sachdev,Hanumankind,Jasmine Sandlas,Sudhir Yaduvanshi,Charanjit Ahuja,Muhammad Sadiq,Ranjit Kaur,Babu Singh Maan",110,11A,94,2026-02-04,02:35,76,"bollywood, desi pop, hindi pop, malayalam hip hop, desi hip hop, bhangra, punjabi pop, desi, ","Dhurandhar - Title Track (From  Dhurandhar )",2025-10-15,72,3,0,29,10,30,-5,F#/G♭ Minor,4,3QspmlfK7myCWJWWl2bywt,INH102506206
178,"Pehla Pyaar","Armaan Malik,Vishal Mishra,Irshad Kamil",125,12B,71,2026-03-09,04:32,72,"bollywood, hindi pop, kannada pop, tollywood, desi","Kabir Singh",2019-06-14,61,56,0,61,0,10,-5,E Major,4,0ojpEubhy4JNeVftmVuiN7,INS181903750
179,"Sahiba","Aditya Rikhari",100,3A,43,2026-03-16,03:10,85,"hindi indie, indian indie, desi pop, hindi pop","Sahiba",2023-12-19,68,55,0,43,0,0,-9,A#/B♭ Minor,4,0eLtIxPRNJfsmehITZ1qaJ,INS182303606
180,"Woh Lamhe Woh Baatein - From  Zeher ","Atif Aslam,Roop Kumar Rathod,Mithoon,Naresh Sharma",90,1A,86,2026-03-29,05:20,57,"bollywood, hindi pop, desi, sufi, qawwali","Zeher (Original Motion Picture Soundtrack)",2005-03-25,56,11,0,39,0,0,-4,G#/A♭ Minor,4,21kImg7AxLbl7rrciuAwoB,INH100502936
181,"I Love It (feat. Charli XCX)","Icona Pop,Charli xcx",126,4B,91,2026-04-20,02:37,80,"hyperpop, art pop","THIS IS... ICONA POP",2013-08-23,71,1,0,82,0,10,-3,G#/A♭ Major,4,6HZ9VeI5IRFCNQLXhpF4bq,SEWEE1200301
182,"I Am Electric","Heaven's Basement",173,4A,100,2026-04-20,03:00,46,"","Filthy Empire (Explicit)",2013-02-05,34,0,0,6,10,30,-3,F Minor,4,1wPVBFSy3rs8dcgt5SrmYz,USP6L1200106
183,"Raat Bhar","Arijit Singh,Shreya Ghoshal",130,12A,88,2026-04-28,05:25,66,"hindi pop, bollywood, desi, bangla pop, kannada pop, marathi pop","Heropanti",2014-04-21,62,2,0,39,0,10,-5,C♯/D♭ Minor,4,3ctaMit7CuiHIPVYrRvm15,INS181400869
